#YY  MM DD hh mm ss T   HEIGHT
#yr  mo dy hr mn  s -      m
2022 09 25 00 00 00 1 5659.523
2022 09 24 23 45 00 1 5659.399
2022 09 24 23 30 00 1 5659.269
2022 09 24 23 15 00 1 5659.140
2022 09 24 23 00 00 1 5659.008
2022 09 24 22 45 00 1 5658.877
2022 09 24 22 30 00 1 5658.751
2022 09 24 22 15 00 1 5658.628
2022 09 24 22 00 00 1 5658.514
2022 09 24 21 45 00 1 5658.410
2022 09 24 21 30 00 1 5658.319
2022 09 24 21 15 00 1 5658.240
2022 09 24 21 00 00 1 5658.176
2022 09 24 20 45 00 1 5658.124
2022 09 24 20 30 00 1 5658.088
2022 09 24 20 15 00 1 5658.071
2022 09 24 20 00 00 1 5658.069
2022 09 24 19 45 00 1 5658.083
2022 09 24 19 30 00 1 5658.116
2022 09 24 19 15 00 1 5658.166
2022 09 24 19 00 00 1 5658.229
2022 09 24 18 45 00 1 5658.306
2022 09 24 18 30 00 1 5658.392
2022 09 24 18 15 00 1 5658.494
2022 09 24 18 00 00 1 5658.604
2022 09 24 17 45 00 1 5658.723
2022 09 24 17 30 00 1 5658.845
2022 09 24 17 15 00 1 5658.966
2022 09 24 17 00 00 1 5659.090
2022 09 24 16 45 00 1 5659.211
2022 09 24 16 30 00 1 5659.333
2022 09 24 16 15 00 1 5659.443
2022 09 24 16 00 00 1 5659.549
2022 09 24 15 45 00 1 5659.645
2022 09 24 15 30 00 1 5659.733
2022 09 24 15 15 00 1 5659.804
2022 09 24 15 00 00 1 5659.864
2022 09 24 14 45 00 1 5659.909
2022 09 24 14 30 00 1 5659.936
2022 09 24 14 15 00 1 5659.950
2022 09 24 14 00 00 1 5659.945
2022 09 24 13 45 00 1 5659.928
2022 09 24 13 30 00 1 5659.891
2022 09 24 13 15 00 1 5659.839
2022 09 24 13 00 00 1 5659.772
2022 09 24 12 45 00 1 5659.691
2022 09 24 12 30 00 1 5659.598
2022 09 24 12 15 00 1 5659.494
2022 09 24 12 00 00 1 5659.383
2022 09 24 11 45 00 1 5659.261
2022 09 24 11 30 00 1 5659.135
2022 09 24 11 15 00 1 5659.008
2022 09 24 11 00 00 1 5658.874
2022 09 24 10 45 00 1 5658.746
2022 09 24 10 30 00 1 5658.618
2022 09 24 10 15 00 1 5658.495
2022 09 24 10 00 00 1 5658.378
2022 09 24 09 45 00 1 5658.271
2022 09 24 09 30 00 1 5658.175
2022 09 24 09 15 00 1 5658.092
2022 09 24 09 00 00 1 5658.022
2022 09 24 08 45 00 1 5657.966
2022 09 24 08 30 00 1 5657.926
2022 09 24 08 15 00 1 5657.900
2022 09 24 08 00 00 1 5657.892
2022 09 24 07 45 00 1 5657.901
2022 09 24 07 30 00 1 5657.925
2022 09 24 07 15 00 1 5657.968
2022 09 24 07 00 00 1 5658.026
2022 09 24 06 45 00 1 5658.096
2022 09 24 06 30 00 1 5658.182
2022 09 24 06 15 00 1 5658.275
2022 09 24 06 00 00 1 5658.382
2022 09 24 05 45 00 1 5658.496
2022 09 24 05 30 00 1 5658.618
2022 09 24 05 15 00 1 5658.743
2022 09 24 05 00 00 1 5658.871
2022 09 24 04 45 00 1 5659.000
2022 09 24 04 30 00 1 5659.127
2022 09 24 04 15 00 1 5659.251
2022 09 24 04 00 00 1 5659.370
2022 09 24 03 45 00 1 5659.481
2022 09 24 03 30 00 1 5659.586
2022 09 24 03 15 00 1 5659.680
2022 09 24 03 00 00 1 5659.764
2022 09 24 02 45 00 1 5659.832
2022 09 24 02 30 00 1 5659.888
2022 09 24 02 15 00 1 5659.928
2022 09 24 02 00 00 1 5659.954
2022 09 24 01 45 00 1 5659.965
2022 09 24 01 30 00 1 5659.961
2022 09 24 01 15 00 1 5659.940
2022 09 24 01 00 00 1 5659.907
2022 09 24 00 45 00 1 5659.861
2022 09 24 00 30 00 1 5659.802
2022 09 24 00 15 00 1 5659.733
2022 09 24 00 00 00 1 5659.652
2022 09 23 23 45 00 1 5659.562
2022 09 23 23 30 00 1 5659.467
2022 09 23 23 15 00 1 5659.365
2022 09 23 23 00 00 1 5659.260
2022 09 23 22 45 00 1 5659.155
2022 09 23 22 30 00 1 5659.046
2022 09 23 22 15 00 1 5658.942
2022 09 23 22 00 00 1 5658.842
2022 09 23 21 45 00 1 5658.746
2022 09 23 21 30 00 1 5658.657
2022 09 23 21 15 00 1 5658.579
2022 09 23 21 00 00 1 5658.507
2022 09 23 20 45 00 1 5658.447
2022 09 23 20 30 00 1 5658.397
2022 09 23 20 15 00 1 5658.362
2022 09 23 20 00 00 1 5658.339
2022 09 23 19 45 00 1 5658.330
2022 09 23 19 30 00 1 5658.331
2022 09 23 19 15 00 1 5658.348
2022 09 23 19 00 00 1 5658.377
2022 09 23 18 45 00 1 5658.418
2022 09 23 18 30 00 1 5658.471
2022 09 23 18 15 00 1 5658.536
2022 09 23 18 00 00 1 5658.608
2022 09 23 17 45 00 1 5658.688
2022 09 23 17 30 00 1 5658.774
2022 09 23 17 15 00 1 5658.864
2022 09 23 17 00 00 1 5658.955
2022 09 23 16 45 00 1 5659.050
2022 09 23 16 30 00 1 5659.144
2022 09 23 16 15 00 1 5659.236
2022 09 23 16 00 00 1 5659.324
2022 09 23 15 45 00 1 5659.405
2022 09 23 15 30 00 1 5659.479
2022 09 23 15 15 00 1 5659.547
2022 09 23 15 00 00 1 5659.605
2022 09 23 14 45 00 1 5659.652
2022 09 23 14 30 00 1 5659.688
2022 09 23 14 15 00 1 5659.712
2022 09 23 14 00 00 1 5659.725
2022 09 23 13 45 00 1 5659.724
2022 09 23 13 30 00 1 5659.711
2022 09 23 13 15 00 1 5659.684
2022 09 23 13 00 00 1 5659.644
2022 09 23 12 45 00 1 5659.593
2022 09 23 12 30 00 1 5659.532
2022 09 23 12 15 00 1 5659.460
2022 09 23 12 00 00 1 5659.378
2022 09 23 11 45 00 1 5659.292
2022 09 23 11 30 00 1 5659.198
2022 09 23 11 15 00 1 5659.099
2022 09 23 11 00 00 1 5658.997
2022 09 23 10 45 00 1 5658.894
2022 09 23 10 30 00 1 5658.790
2022 09 23 10 15 00 1 5658.688
2022 09 23 10 00 00 1 5658.589
2022 09 23 09 45 00 1 5658.493
2022 09 23 09 30 00 1 5658.404
2022 09 23 09 15 00 1 5658.323
2022 09 23 09 00 00 1 5658.251
2022 09 23 08 45 00 1 5658.191
2022 09 23 08 30 00 1 5658.138
2022 09 23 08 15 00 1 5658.099
2022 09 23 08 00 00 1 5658.072
2022 09 23 07 45 00 1 5658.059
2022 09 23 07 30 00 1 5658.056
2022 09 23 07 15 00 1 5658.070
2022 09 23 07 00 00 1 5658.094
2022 09 23 06 45 00 1 5658.132
2022 09 23 06 30 00 1 5658.180
2022 09 23 06 15 00 1 5658.240
2022 09 23 06 00 00 1 5658.311
2022 09 23 05 45 00 1 5658.391
2022 09 23 05 30 00 1 5658.478
2022 09 23 05 15 00 1 5658.571
2022 09 23 05 00 00 1 5658.669
2022 09 23 04 45 00 1 5658.772
2022 09 23 04 30 00 1 5658.877
2022 09 23 04 15 00 1 5658.981
2022 09 23 04 00 00 1 5659.083
2022 09 23 03 45 00 1 5659.181
2022 09 23 03 30 00 1 5659.272
2022 09 23 03 15 00 1 5659.361
2022 09 23 03 00 00 1 5659.441
2022 09 23 02 45 00 1 5659.514
2022 09 23 02 30 00 1 5659.578
2022 09 23 02 15 00 1 5659.630
2022 09 23 02 00 00 1 5659.675
2022 09 23 01 45 00 1 5659.707
2022 09 23 01 30 00 1 5659.730
2022 09 23 01 15 00 1 5659.741
2022 09 23 01 00 00 1 5659.739
2022 09 23 00 45 00 1 5659.726
2022 09 23 00 30 00 1 5659.701
2022 09 23 00 15 00 1 5659.669
2022 09 23 00 00 00 1 5659.624
2022 09 22 23 45 00 1 5659.572
2022 09 22 23 30 00 1 5659.513
2022 09 22 23 15 00 1 5659.447
2022 09 22 23 00 00 1 5659.378
2022 09 22 22 45 00 1 5659.305
2022 09 22 22 30 00 1 5659.229
2022 09 22 22 15 00 1 5659.152
2022 09 22 22 00 00 1 5659.077
2022 09 22 21 45 00 1 5659.003
2022 09 22 21 30 00 1 5658.934
2022 09 22 21 15 00 1 5658.868
2022 09 22 21 00 00 1 5658.805
2022 09 22 20 45 00 1 5658.750
2022 09 22 20 30 00 1 5658.704
2022 09 22 20 15 00 1 5658.662
2022 09 22 20 00 00 1 5658.629
2022 09 22 19 45 00 1 5658.607
2022 09 22 19 30 00 1 5658.595
2022 09 22 19 15 00 1 5658.590
2022 09 22 19 00 00 1 5658.591
2022 09 22 18 45 00 1 5658.604
2022 09 22 18 30 00 1 5658.626
