#YY  MM DD hh mm ss T   HEIGHT
#yr  mo dy hr mn  s -      m
2022 08 24 00 00 00 1 5659.501
2022 08 23 23 45 00 1 5659.479
2022 08 23 23 30 00 1 5659.450
2022 08 23 23 15 00 1 5659.415
2022 08 23 23 00 00 1 5659.375
2022 08 23 22 45 00 1 5659.332
2022 08 23 22 30 00 1 5659.285
2022 08 23 22 15 00 1 5659.234
2022 08 23 22 00 00 1 5659.182
2022 08 23 21 45 00 1 5659.130
2022 08 23 21 30 00 1 5659.080
2022 08 23 21 15 00 1 5659.032
2022 08 23 21 00 00 1 5658.986
2022 08 23 20 45 00 1 5658.941
2022 08 23 20 30 00 1 5658.900
2022 08 23 20 15 00 1 5658.863
2022 08 23 20 00 00 1 5658.830
2022 08 23 19 45 00 1 5658.804
2022 08 23 19 30 00 1 5658.782
2022 08 23 19 15 00 1 5658.767
2022 08 23 19 00 00 1 5658.756
2022 08 23 18 45 00 1 5658.751
2022 08 23 18 30 00 1 5658.753
2022 08 23 18 15 00 1 5658.759
2022 08 23 18 00 00 1 5658.772
2022 08 23 17 45 00 1 5658.787
2022 08 23 17 30 00 1 5658.808
2022 08 23 17 15 00 1 5658.831
2022 08 23 17 00 00 1 5658.857
2022 08 23 16 45 00 1 5658.882
2022 08 23 16 30 00 1 5658.913
2022 08 23 16 15 00 1 5658.941
2022 08 23 16 00 00 1 9999.000
2022 08 23 15 59 00 2 5658.972
2022 08 23 15 58 00 2 5658.975
2022 08 23 15 57 00 2 5658.977
2022 08 23 15 56 00 2 5658.979
2022 08 23 15 55 00 2 5658.981
2022 08 23 15 54 00 2 5658.983
2022 08 23 15 53 00 2 5658.985
2022 08 23 15 52 00 2 5658.987
2022 08 23 15 51 00 2 5658.989
2022 08 23 15 50 00 2 5658.990
2022 08 23 15 49 00 2 5658.992
2022 08 23 15 48 00 2 5658.994
2022 08 23 15 47 00 2 5658.996
2022 08 23 15 46 00 2 5658.998
2022 08 23 15 45 00 2 5659.000
2022 08 23 15 45 00 1 9999.000
2022 08 23 15 44 00 2 5659.002
2022 08 23 15 43 00 2 5659.004
2022 08 23 15 42 00 2 5659.006
2022 08 23 15 41 00 2 5659.008
2022 08 23 15 40 00 2 5659.010
2022 08 23 15 39 00 2 5659.012
2022 08 23 15 38 00 2 5659.013
2022 08 23 15 37 00 2 5659.015
2022 08 23 15 36 00 2 5659.017
2022 08 23 15 35 00 2 5659.018
2022 08 23 15 34 00 2 5659.020
2022 08 23 15 33 00 2 5659.022
2022 08 23 15 32 00 2 5659.024
2022 08 23 15 31 00 2 5659.026
2022 08 23 15 30 00 2 5659.028
2022 08 23 15 30 00 1 9999.000
2022 08 23 15 29 00 2 5659.030
2022 08 23 15 28 00 2 5659.033
2022 08 23 15 27 00 2 5659.035
2022 08 23 15 26 00 2 5659.036
2022 08 23 15 25 00 2 5659.038
2022 08 23 15 24 00 2 5659.041
2022 08 23 15 23 00 2 5659.042
2022 08 23 15 22 00 2 5659.044
2022 08 23 15 21 00 2 5659.046
2022 08 23 15 20 00 2 5659.047
2022 08 23 15 19 00 2 5659.048
2022 08 23 15 18 00 2 5659.050
2022 08 23 15 17 00 2 5659.051
2022 08 23 15 16 00 2 5659.052
2022 08 23 15 15 00 2 5659.053
2022 08 23 15 15 00 1 9999.000
2022 08 23 15 14 00 2 5659.054
2022 08 23 15 13 00 2 5659.053
2022 08 23 15 12 00 2 5659.049
2022 08 23 15 11 00 2 5659.046
2022 08 23 15 10 00 2 5659.051
2022 08 23 15 09 00 2 5659.056
2022 08 23 15 08 00 2 5659.056
2022 08 23 15 07 00 2 5659.062
2022 08 23 15 06 00 2 5659.060
2022 08 23 15 05 00 2 5659.060
2022 08 23 15 04 00 2 5659.066
2022 08 23 15 03 00 2 5659.065
2022 08 23 15 02 00 2 5659.066
2022 08 23 15 01 00 2 5659.072
2022 08 23 15 00 00 2 5659.073
2022 08 23 15 00 00 1 9999.000
2022 08 23 14 59 00 2 5659.074
2022 08 23 14 58 00 2 5659.074
2022 08 23 14 57 00 2 5659.074
2022 08 23 14 56 00 2 5659.069
2022 08 23 14 55 00 2 5659.064
2022 08 23 14 54 00 2 5659.066
2022 08 23 14 53 00 2 5659.069
2022 08 23 14 52 00 2 5659.073
2022 08 23 14 51 00 2 5659.084
2022 08 23 14 50 00 2 5659.089
2022 08 23 14 49 00 2 5659.094
2022 08 23 14 48 00 2 5659.096
2022 08 23 14 47 00 2 5659.099
2022 08 23 14 46 00 2 5659.100
2022 08 23 14 45 00 2 5659.101
2022 08 23 14 45 00 1 9999.000
2022 08 23 14 44 00 2 5659.102
2022 08 23 14 43 00 2 5659.103
2022 08 23 14 42 00 2 5659.104
2022 08 23 14 41 00 2 5659.103
2022 08 23 14 40 00 2 5659.099
2022 08 23 14 39 00 2 5659.096
2022 08 23 14 38 00 2 5659.103
2022 08 23 14 37 00 2 5659.111
2022 08 23 14 36 00 2 5659.113
2022 08 23 14 35 00 2 5659.114
2022 08 23 14 34 00 2 5659.115
2022 08 23 14 33 00 2 5659.116
2022 08 23 14 32 00 2 5659.116
2022 08 23 14 31 00 2 5659.117
2022 08 23 14 30 00 2 5659.117
2022 08 23 14 30 00 1 9999.000
2022 08 23 14 29 00 2 5659.117
2022 08 23 14 28 00 2 5659.118
2022 08 23 14 27 00 2 5659.118
2022 08 23 14 26 00 2 5659.119
2022 08 23 14 25 00 2 5659.119
2022 08 23 14 24 00 2 5659.115
2022 08 23 14 23 00 2 5659.112
2022 08 23 14 22 00 2 5659.118
2022 08 23 14 21 00 2 5659.126
2022 08 23 14 20 00 2 5659.128
2022 08 23 14 19 00 2 5659.129
2022 08 23 14 18 00 2 5659.129
2022 08 23 14 17 00 2 5659.131
2022 08 23 14 16 00 2 5659.131
2022 08 23 14 15 00 2 5659.132
2022 08 23 14 15 00 1 9999.000
2022 08 23 14 14 00 2 5659.133
2022 08 23 14 13 00 2 5659.134
2022 08 23 14 12 00 2 5659.134
2022 08 23 14 11 00 2 5659.135
2022 08 23 14 10 00 2 5659.133
2022 08 23 14 09 00 2 5659.129
2022 08 23 14 08 00 2 5659.124
2022 08 23 14 07 00 2 5659.125
2022 08 23 14 06 00 2 5659.127
2022 08 23 14 05 00 2 5659.133
2022 08 23 14 04 00 2 5659.138
2022 08 23 14 03 00 2 5659.136
2022 08 23 14 02 00 2 5659.135
2022 08 23 14 01 00 2 5659.141
2022 08 23 14 00 00 2 5659.141
2022 08 23 14 00 00 1 9999.000
2022 08 23 13 59 00 2 5659.142
2022 08 23 13 58 00 2 5659.142
2022 08 23 13 57 00 2 5659.141
2022 08 23 13 56 00 2 5659.141
2022 08 23 13 55 00 2 5659.142
2022 08 23 13 54 00 2 5659.141
2022 08 23 13 53 00 2 5659.140
2022 08 23 13 52 00 2 5659.135
2022 08 23 13 51 00 2 5659.131
2022 08 23 13 50 00 2 5659.135
2022 08 23 13 49 00 2 5659.142
2022 08 23 13 48 00 2 5659.143
2022 08 23 13 47 00 2 5659.144
2022 08 23 13 46 00 2 5659.143
2022 08 23 13 45 00 2 5659.142
2022 08 23 13 45 00 1 9999.000
2022 08 23 13 44 00 2 5659.142
2022 08 23 13 43 00 2 5659.142
2022 08 23 13 42 00 2 5659.141
2022 08 23 13 41 00 2 5659.141
2022 08 23 13 40 00 2 5659.140
2022 08 23 13 39 00 2 5659.139
2022 08 23 13 38 00 2 5659.138
2022 08 23 13 37 00 2 5659.136
2022 08 23 13 36 00 2 5659.132
2022 08 23 13 35 00 2 5659.127
2022 08 23 13 34 00 2 5659.130
2022 08 23 13 33 00 2 5659.134
2022 08 23 13 32 00 2 5659.134
2022 08 23 13 31 00 2 5659.141
2022 08 23 13 30 00 2 5659.144
2022 08 23 13 30 00 1 9999.000
2022 08 23 13 29 00 2 5659.145
2022 08 23 13 28 00 2 5659.145
2022 08 23 13 27 00 2 5659.146
2022 08 23 13 26 00 2 5659.146
2022 08 23 13 25 00 2 5659.145
2022 08 23 13 24 00 2 5659.145
2022 08 23 13 23 00 2 5659.145
2022 08 23 13 22 00 2 5659.145
2022 08 23 13 21 00 2 5659.143
2022 08 23 13 20 00 2 5659.138
2022 08 23 13 19 00 2 5659.133
2022 08 23 13 18 00 2 5659.137
2022 08 23 13 17 00 2 5659.143
2022 08 23 13 16 00 2 5659.144
2022 08 23 13 15 00 2 5659.140
2022 08 23 13 15 00 1 9999.000
2022 08 23 13 14 00 2 5659.152
2022 08 23 13 13 00 2 5659.152
2022 08 23 13 12 00 2 5659.149
2022 08 23 13 11 00 2 5659.144
2022 08 23 13 10 00 2 5659.145
2022 08 23 13 09 00 2 5659.148
2022 08 23 13 08 00 2 5659.148
2022 08 23 13 07 00 2 5659.151
2022 08 23 13 06 00 2 5659.147
2022 08 23 13 05 00 2 5659.145
2022 08 23 13 04 00 2 5659.144
2022 08 23 13 03 00 2 5659.139
2022 08 23 13 02 00 2 5659.140
2022 08 23 13 01 00 2 5659.149
2022 08 23 13 00 00 2 5659.148
2022 08 23 13 00 00 1 9999.000
2022 08 23 12 59 00 2 5659.148
2022 08 23 12 58 00 2 5659.146
2022 08 23 12 57 00 2 5659.144
2022 08 23 12 56 00 2 5659.137
2022 08 23 12 55 00 2 5659.131
2022 08 23 12 54 00 2 5659.132
2022 08 23 12 53 00 2 5659.139
2022 08 23 12 52 00 2 5659.139
2022 08 23 12 51 00 2 5659.138
2022 08 23 12 50 00 2 5659.137
2022 08 23 12 49 00 2 5659.134
2022 08 23 12 48 00 2 5659.128
2022 08 23 12 47 00 2 5659.122
2022 08 23 12 46 00 2 5659.124
2022 08 23 12 45 00 2 5659.130
2022 08 23 12 45 00 1 9999.000
2022 08 23 12 44 00 2 5659.130
2022 08 23 12 43 00 2 5659.128
2022 08 23 12 42 00 2 5659.126
2022 08 23 12 41 00 2 5659.124
2022 08 23 12 40 00 2 5659.118
2022 08 23 12 39 00 2 5659.113
2022 08 23 12 38 00 2 5659.114
2022 08 23 12 37 00 2 5659.118
2022 08 23 12 36 00 2 5659.119
2022 08 23 12 35 00 2 5659.117
2022 08 23 12 34 00 2 5659.115
2022 08 23 12 33 00 2 5659.112
2022 08 23 12 32 00 2 5659.106
2022 08 23 12 31 00 2 5659.099
2022 08 23 12 30 00 2 5659.100
2022 08 23 12 30 00 1 9999.000
2022 08 23 12 29 00 2 5659.106
2022 08 23 12 28 00 2 5659.107
2022 08 23 12 27 00 2 5659.105
2022 08 23 12 26 00 2 5659.102
2022 08 23 12 25 00 2 5659.099
2022 08 23 12 24 00 2 5659.093
2022 08 23 12 23 00 2 5659.086
2022 08 23 12 22 00 2 5659.086
2022 08 23 12 21 00 2 5659.091
2022 08 23 12 20 00 2 5659.091
2022 08 23 12 19 00 2 5659.088
2022 08 23 12 18 00 2 5659.086
2022 08 23 12 17 00 2 5659.082
2022 08 23 12 16 00 2 5659.075
2022 08 23 12 15 00 2 5659.067
2022 08 23 12 15 00 1 9999.000
2022 08 23 12 14 00 2 5659.067
2022 08 23 12 13 00 2 5659.069
2022 08 23 12 12 00 2 5659.064
2022 08 23 12 11 00 2 5659.054
2022 08 23 12 10 00 2 5659.053
2022 08 23 12 09 00 2 5659.052
2022 08 23 12 08 45 3 5659.047
2022 08 23 12 08 30 3 5659.044
2022 08 23 12 08 15 3 5659.042
2022 08 23 12 08 00 3 5659.041
2022 08 23 12 08 00 2 5659.044
2022 08 23 12 07 45 3 5659.040
2022 08 23 12 07 30 3 5659.040
2022 08 23 12 07 15 3 5659.041
2022 08 23 12 07 00 3 5659.041
2022 08 23 12 07 00 2 5659.041
2022 08 23 12 06 45 3 5659.044
2022 08 23 12 06 30 3 5659.044
2022 08 23 12 06 15 3 5659.045
2022 08 23 12 06 00 3 5659.039
2022 08 23 12 06 00 2 5659.043
2022 08 23 12 05 45 3 5659.028
2022 08 23 12 05 30 3 5659.014
2022 08 23 12 05 15 3 5659.046
2022 08 23 12 05 00 3 5659.052
2022 08 23 12 05 00 2 5659.035
2022 08 23 12 04 00 2 5659.054
2022 08 23 12 03 00 2 5659.051
2022 08 23 12 02 00 2 5659.049
2022 08 23 12 01 00 2 5659.052
2022 08 23 12 00 00 2 5659.050
2022 08 23 12 00 00 1 5659.050
2022 08 23 11 59 00 2 5659.049
2022 08 23 11 58 00 2 5659.048
2022 08 23 11 57 00 2 5659.046
2022 08 23 11 56 00 2 5659.044
2022 08 23 11 55 00 2 5659.042
2022 08 23 11 54 00 2 5659.041
2022 08 23 11 53 00 2 5659.039
2022 08 23 11 52 00 2 5659.037
2022 08 23 11 51 00 2 5659.035
2022 08 23 11 50 00 2 5659.032
2022 08 23 11 49 00 2 5659.030
2022 08 23 11 48 00 2 5659.027
2022 08 23 11 47 00 2 5659.025
2022 08 23 11 46 00 2 5659.022
2022 08 23 11 45 00 2 5659.020
2022 08 23 11 45 00 1 5659.019
2022 08 23 11 44 00 2 5659.018
2022 08 23 11 43 00 2 5659.015
2022 08 23 11 42 00 2 5659.013
2022 08 23 11 41 00 2 5659.011
2022 08 23 11 40 00 2 5659.008
2022 08 23 11 39 00 2 5659.006
2022 08 23 11 38 00 2 5659.004
2022 08 23 11 37 00 2 5659.002
2022 08 23 11 36 00 2 5658.999
2022 08 23 11 35 00 2 5658.997
2022 08 23 11 34 00 2 5658.995
2022 08 23 11 33 00 2 5658.992
2022 08 23 11 32 00 2 5658.990
2022 08 23 11 31 00 2 5658.988
2022 08 23 11 30 00 2 5658.986
2022 08 23 11 30 00 1 5658.985
2022 08 23 11 29 00 2 5658.983
2022 08 23 11 28 00 2 5658.981
2022 08 23 11 27 00 2 5658.979
2022 08 23 11 26 00 2 5658.976
2022 08 23 11 25 00 2 5658.974
2022 08 23 11 24 00 2 5658.971
2022 08 23 11 23 00 2 5658.969
2022 08 23 11 22 00 2 5658.966
2022 08 23 11 21 00 2 5658.964
2022 08 23 11 20 00 2 5658.961
2022 08 23 11 19 00 2 5658.959
2022 08 23 11 18 00 2 5658.957
2022 08 23 11 17 00 2 5658.954
2022 08 23 11 16 00 2 5658.952
2022 08 23 11 15 00 2 5658.949
2022 08 23 11 15 00 1 5658.948
2022 08 23 11 14 00 2 5658.947
2022 08 23 11 13 00 2 5658.944
2022 08 23 11 12 00 2 5658.941
2022 08 23 11 11 00 2 5658.937
2022 08 23 11 10 00 2 5658.934
2022 08 23 11 09 00 2 5658.928
2022 08 23 11 08 00 2 5658.924
2022 08 23 11 07 00 2 5658.925
2022 08 23 11 06 00 2 5658.920
2022 08 23 11 05 00 2 5658.915
2022 08 23 11 04 00 2 5658.916
2022 08 23 11 03 00 2 5658.910
2022 08 23 11 02 00 2 5658.907
2022 08 23 11 01 00 2 5658.908
2022 08 23 11 00 00 2 5658.905
2022 08 23 11 00 00 1 5658.904
2022 08 23 10 45 00 1 5658.862
2022 08 23 10 30 00 1 5658.815
2022 08 23 10 15 00 1 5658.766
2022 08 23 10 00 00 1 5658.714
2022 08 23 09 45 00 1 5658.667
2022 08 23 09 30 00 1 5658.619
2022 08 23 09 15 00 1 5658.572
2022 08 23 09 00 00 1 5658.528
2022 08 23 08 45 00 1 5658.486
2022 08 23 08 30 00 1 5658.447
2022 08 23 08 15 00 1 5658.413
2022 08 23 08 00 00 1 5658.381
2022 08 23 07 45 00 1 5658.355
2022 08 23 07 30 00 1 5658.335
2022 08 23 07 15 00 1 5658.320
2022 08 23 07 00 00 1 5658.311
2022 08 23 06 45 00 1 5658.311
2022 08 23 06 30 00 1 5658.315
2022 08 23 06 15 00 1 5658.328
2022 08 23 06 00 00 1 5658.342
2022 08 23 05 45 00 1 5658.367
2022 08 23 05 30 00 1 5658.395
2022 08 23 05 15 00 1 5658.429
2022 08 23 05 00 00 1 5658.467
2022 08 23 04 45 00 1 5658.510
2022 08 23 04 30 00 1 5658.558
2022 08 23 04 15 00 1 5658.609
2022 08 23 04 00 00 1 5658.664
2022 08 23 03 45 00 1 5658.720
2022 08 23 03 30 00 1 5658.779
2022 08 23 03 15 00 1 5658.838
2022 08 23 03 00 00 1 5658.899
2022 08 23 02 45 00 1 5658.961
2022 08 23 02 30 00 1 5659.020
2022 08 23 02 15 00 1 5659.079
2022 08 23 02 00 00 1 5659.132
2022 08 23 01 45 00 1 5659.182
2022 08 23 01 30 00 1 5659.227
2022 08 23 01 15 00 1 5659.267
2022 08 23 01 00 00 1 5659.302
2022 08 23 00 45 00 1 5659.334
2022 08 23 00 30 00 1 5659.362
2022 08 23 00 15 00 1 5659.384
