#YY  MM DD hh mm ss T   HEIGHT
#yr  mo dy hr mn  s -      m
2022 09 21 10 00 00 1 5658.816
2022 09 21 09 45 00 1 5658.768
2022 09 21 09 30 00 1 5658.722
2022 09 21 09 15 00 1 5658.677
2022 09 21 09 00 00 1 9999.000
2022 09 21 08 59 00 2 5658.633
2022 09 21 08 58 00 2 5658.630
2022 09 21 08 57 00 2 5658.627
2022 09 21 08 56 00 2 5658.625
2022 09 21 08 55 00 2 5658.623
2022 09 21 08 54 00 2 5658.620
2022 09 21 08 53 00 2 5658.618
2022 09 21 08 52 00 2 5658.615
2022 09 21 08 51 00 2 5658.612
2022 09 21 08 50 00 2 5658.610
2022 09 21 08 49 00 2 5658.608
2022 09 21 08 48 00 2 5658.606
2022 09 21 08 47 00 2 5658.603
2022 09 21 08 30 00 1 5658.816
2022 09 21 08 15 00 1 5658.768
2022 09 21 08 00 00 1 5658.722
2022 09 21 07 45 00 1 5658.677
2022 09 21 07 30 00 1 5658.710
2022 09 21 07 29 00 2 5658.606
2022 09 21 07 28 00 2 5658.603
2022 09 21 07 15 00 1 5658.600
